gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.97563139,0.99490071,0.99872759,0.99318268,0.99659357,0033,0034,0035,0.00000000,"DecisionTable,DecisionTable_crossVal,J48,J48_useLaplace,DecisionTable_useIBk,JRip,J48_collapseTree,PART,PART_pruning,PART_confidenceFactorValue,PART_numFolds,PART_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_minNo,DecisionTable_search,SimpleCart,Aggregator,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,PART_minNumObj,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_minNumObj,JRip_checkErrorRate,J48_useMDLcorrection,J48_confidenceFactorValue,J48_binarySplits,JRip_usePruning,BestFirst_searchTermination,PART_useMDLcorrection,J48_numFolds,SimpleCart_usePrune,SimpleCart_heuristic,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,BestFirst_direction,SimpleCart_useOneSE,JRip_optimizations,SimpleCart_numFoldsPruning,JRip_folds"
1,90,0.95923463,0.99541643,0.99872759,0.99318268,0.99659357,0016,0034,0035,0.00000000,"J48,JRip,Aggregator,J48_minNumObj,J48_useMDLcorrection,DecisionTable,J48_collapseTree,JRip_checkErrorRate,J48_pruning,JRip_usePruning,DecisionTable_crossVal,PART,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,JRip_folds,J48_numFolds,JRip_minNo,DecisionTable_evaluationMeasure,JRip_optimizations,SimpleCart,DecisionTable_useIBk,J48_binarySplits,PART_pruning,DecisionTable_search,J48_useLaplace,PART_confidenceFactorValue,PART_minNumObj,BestFirst_searchTermination,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_usePrune,PART_binarySplits,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_useMDLcorrection,SimpleCart_useOneSE,SimpleCart_minNumObj,SimpleCart_heuristic,BestFirst_direction,PART_numFolds"
2,90,0.97801234,0.99539715,0.99872759,0.99318268,0.99659357,0015,0034,0035,0.00000000,"DecisionTable,Aggregator,J48,PART,PART_binarySplits,SimpleCart,J48_pruning,PART_pruning,DecisionTable_search,DecisionTable_evaluationMeasure,PART_numFolds,PART_minNumObj,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,J48_useLaplace,DecisionTable_crossVal,JRip,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,PART_confidenceFactorValue,JRip_usePruning,JRip_minNo,J48_numFolds,J48_subtreeRaising,PART_useMDLcorrection,SimpleCart_minNumObj,SimpleCart_usePrune,J48_confidenceFactorValue,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,J48_minNumObj,J48_binarySplits,SimpleCart_heuristic,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,JRip_optimizations,JRip_folds,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
3,90,0.96895122,0.99537787,0.99872759,0.99318268,0.99659357,0013,0034,0035,0.00000000,"J48,J48_useMDLcorrection,J48_pruning,J48_useLaplace,Aggregator,J48_binarySplits,J48_minNumObj,J48_doNotMakeSplitPointActualValue,DecisionTable,J48_collapseTree,J48_subtreeRaising,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,J48_numFolds,SimpleCart,DecisionTable_useIBk,PART,JRip,JRip_checkErrorRate,SimpleCart_heuristic,SimpleCart_usePrune,JRip_usePruning,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,JRip_folds,DecisionTable_search,PART_minNumObj,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_pruning,PART_useMDLcorrection,JRip_minNo,PART_binarySplits,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,PART_numFolds,PART_confidenceFactorValue"
4,90,0.97689416,0.99561404,0.99872759,0.99318268,0.99659357,0015,0034,0074,0.53605951,"JRip,PART,JRip_usePruning,JRip_optimizations,JRip_checkErrorRate,J48,J48_binarySplits,J48_useLaplace,J48_pruning,J48_numFolds,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,PART_pruning,DecisionTable,SimpleCart_useOneSE,DecisionTable_crossVal,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,DecisionTable_search,DecisionTable_useIBk,PART_numFolds,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_useMDLcorrection,J48_confidenceFactorValue,Aggregator,PART_binarySplits,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_folds,J48_collapseTree,PART_minNumObj,SimpleCart_heuristic,JRip_minNo,J48_minNumObj"
5,90,0.97669173,0.99597070,0.99872759,0.99318268,0.99659357,0015,0063,0074,0.53605951,"PART,JRip,PART_pruning,PART_confidenceFactorValue,JRip_usePruning,JRip_folds,PART_numFolds,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,PART_binarySplits,PART_minNumObj,JRip_optimizations,J48,J48_useLaplace,J48_collapseTree,J48_binarySplits,SimpleCart_heuristic,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,J48_subtreeRaising,J48_numFolds,SimpleCart,PART_useMDLcorrection,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_pruning,DecisionTable_search,DecisionTable_evaluationMeasure,DecisionTable_useIBk,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,BestFirst_searchTermination,SimpleCart_useOneSE,J48_useMDLcorrection,DecisionTable,Aggregator,J48_minNumObj,JRip_minNo,BestFirst_direction"
6,90,0.97687488,0.99554656,0.99872759,0.99318268,0.99659357,0016,0042,0074,0.53605951,"PART,JRip,PART_pruning,PART_useMDLcorrection,PART_numFolds,PART_binarySplits,PART_confidenceFactorValue,JRip_usePruning,JRip_folds,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,PART_minNumObj,JRip_minNo,JRip_optimizations,J48,J48_minNumObj,J48_binarySplits,J48_collapseTree,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,J48_subtreeRaising,SimpleCart_heuristic,DecisionTable_crossVal,J48_pruning,J48_numFolds,J48_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,DecisionTable_useIBk,DecisionTable_search,SimpleCart_useOneSE,J48_useMDLcorrection,SimpleCart_numFoldsPruning,DecisionTable,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,BestFirst_searchTermination,Aggregator"
7,90,0.98697706,0.99592250,0.99872759,0.99318268,0.99659357,0015,0115,0055,0.51485008,"DecisionTable,PART,JRip,SimpleCart,Aggregator,SimpleCart_heuristic,SimpleCart_usePrune,PART_useMDLcorrection,SimpleCart_numFoldsPruning,JRip_usePruning,SimpleCart_useOneSE,JRip_folds,PART_numFolds,J48_collapseTree,J48_useLaplace,J48_numFolds,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,PART_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_crossVal,SimpleCart_minNumObj,DecisionTable_search,PART_pruning,JRip_optimizations,DecisionTable_useIBk,PART_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_minNo,J48,J48_pruning,BestFirst_searchTermination,J48_binarySplits,BestFirst_direction,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_minNumObj"
8,90,0.98370927,0.99569597,0.99872759,0.99318268,0.99659357,0016,0034,0055,0.51485008,"Aggregator,SimpleCart,SimpleCart_heuristic,DecisionTable,SimpleCart_usePrune,PART,JRip,SimpleCart_numFoldsPruning,JRip_usePruning,PART_useMDLcorrection,SimpleCart_useOneSE,JRip_folds,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,SimpleCart_minNumObj,PART_minNumObj,PART_binarySplits,PART_pruning,PART_numFolds,JRip_minNo,J48,J48_useMDLcorrection,J48_pruning,J48_useLaplace,J48_binarySplits,J48_confidenceFactorValue,BestFirst_searchTermination,PART_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_minNumObj,GreedyStepwise_searchBackwards,JRip_optimizations,DecisionTable_crossVal,DecisionTable_evaluationMeasure"
9,90,0.99079429,0.99574899,0.99872759,0.99318268,0.99659357,0016,0095,0055,0.51485008,"DecisionTable,PART,SimpleCart,JRip,Aggregator,PART_useMDLcorrection,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_usePruning,SimpleCart_heuristic,SimpleCart_useOneSE,JRip_folds,GreedyStepwise_conservativeForwardSelection,J48_numFolds,J48_useMDLcorrection,J48_useLaplace,J48_collapseTree,J48_subtreeRaising,J48_confidenceFactorValue,PART_numFolds,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,DecisionTable_useIBk,PART_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_minNo,PART_pruning,J48,PART_binarySplits,J48_pruning,PART_confidenceFactorValue,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,DecisionTable_crossVal,JRip_optimizations,J48_minNumObj,GreedyStepwise_searchBackwards,JRip_checkErrorRate,J48_binarySplits"
10,90,0.95507037,0.99561885,0.99872759,0.99318268,0.99659357,0019,0034,0049,0.60623997,"Aggregator,DecisionTable,JRip,JRip_usePruning,DecisionTable_useIBk,SimpleCart,DecisionTable_search,JRip_folds,DecisionTable_evaluationMeasure,PART,SimpleCart_heuristic,PART_useMDLcorrection,SimpleCart_usePrune,BestFirst_direction,SimpleCart_useOneSE,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,PART_minNumObj,PART_binarySplits,JRip_checkErrorRate,J48_binarySplits,J48_pruning,PART_pruning,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_numFolds,J48_numFolds,PART_confidenceFactorValue,J48_subtreeRaising,J48_minNumObj,GreedyStepwise_searchBackwards,JRip_optimizations,J48,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_useLaplace,J48_collapseTree,JRip_minNo,DecisionTable_crossVal,SimpleCart_minNumObj"
11,90,0.98308271,0.99530075,0.99872759,0.99318268,0.99659357,0018,0034,0049,0.60623997,"DecisionTable,DecisionTable_search,Aggregator,BestFirst_direction,PART,GreedyStepwise_conservativeForwardSelection,SimpleCart,JRip,BestFirst_searchTermination,SimpleCart_heuristic,DecisionTable_evaluationMeasure,PART_useMDLcorrection,DecisionTable_useIBk,JRip_usePruning,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip_folds,JRip_minNo,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,GreedyStepwise_searchBackwards,PART_minNumObj,SimpleCart_minNumObj,PART_binarySplits,PART_pruning,PART_confidenceFactorValue,PART_numFolds,JRip_optimizations,J48,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_useLaplace,J48_collapseTree,J48_binarySplits,J48_minNumObj,J48_pruning,JRip_checkErrorRate,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds"
12,90,0.98229227,0.99542125,0.99872759,0.99318268,0.99659357,0020,0034,0049,0.60623997,"DecisionTable,Aggregator,JRip,DecisionTable_search,SimpleCart,DecisionTable_useIBk,SimpleCart_usePrune,PART,JRip_usePruning,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,SimpleCart_heuristic,SimpleCart_useOneSE,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,PART_useMDLcorrection,JRip_folds,PART_binarySplits,PART_minNumObj,JRip_minNo,DecisionTable_crossVal,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_optimizations,J48,J48_collapseTree,J48_useMDLcorrection,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_pruning,PART_pruning,J48_subtreeRaising,J48_numFolds,JRip_checkErrorRate,J48_minNumObj,J48_confidenceFactorValue,PART_numFolds,PART_confidenceFactorValue,J48_binarySplits"
13,90,0.98293811,0.99540679,0.99872759,0.99318268,0.99659357,0019,0387,0049,0.57329600,"Aggregator,DecisionTable,PART,PART_useMDLcorrection,SimpleCart,DecisionTable_useIBk,SimpleCart_heuristic,SimpleCart_usePrune,JRip,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,JRip_usePruning,JRip_folds,SimpleCart_useOneSE,BestFirst_searchTermination,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_numFolds,PART_confidenceFactorValue,J48_subtreeRaising,J48_confidenceFactorValue,J48_collapseTree,J48_useLaplace,PART_numFolds,JRip_minNo,JRip_checkErrorRate,SimpleCart_minNumObj,DecisionTable_crossVal,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_pruning,GreedyStepwise_searchBackwards,JRip_optimizations,J48,J48_pruning,J48_minNumObj,J48_binarySplits"
14,90,0.98435512,0.99540197,0.99872759,0.99318268,0.99659357,0018,0034,0049,0.57329600,"SimpleCart,JRip,SimpleCart_usePrune,DecisionTable,SimpleCart_heuristic,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,DecisionTable_useIBk,PART,JRip_usePruning,Aggregator,DecisionTable_search,SimpleCart_numFoldsPruning,JRip_folds,PART_useMDLcorrection,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,JRip_checkErrorRate,J48_minNumObj,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,PART_pruning,PART_confidenceFactorValue,PART_numFolds,JRip_optimizations,J48,J48_collapseTree,J48_useMDLcorrection,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_pruning,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue,JRip_minNo,PART_minNumObj,DecisionTable_crossVal,SimpleCart_minNumObj"
15,90,0.97871602,0.99538751,0.99872759,0.99318268,0.99659357,0019,0034,0049,0.57329600,"Aggregator,DecisionTable,DecisionTable_evaluationMeasure,PART,DecisionTable_search,JRip,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,SimpleCart,BestFirst_direction,SimpleCart_heuristic,PART_useMDLcorrection,JRip_usePruning,SimpleCart_usePrune,BestFirst_searchTermination,JRip_folds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,SimpleCart_minNumObj,DecisionTable_crossVal,JRip_minNo,PART_minNumObj,J48_minNumObj,PART_pruning,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,PART_numFolds,J48_binarySplits,J48_pruning,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,J48_useMDLcorrection,J48_useLaplace,J48_collapseTree,J48_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_optimizations,J48"
16,90,0.96107577,0.99541643,0.99872759,0.99318268,0.99659357,0022,0270,0050,0.53630133,"PART,Aggregator,DecisionTable,DecisionTable_search,SimpleCart,BestFirst_searchTermination,JRip,JRip_usePruning,JRip_folds,BestFirst_direction,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_heuristic,SimpleCart_numFoldsPruning,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,PART_numFolds,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_binarySplits,J48_useMDLcorrection,J48_collapseTree,PART_confidenceFactorValue,J48_minNumObj,PART_binarySplits,DecisionTable_crossVal,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,JRip_minNo,PART_minNumObj,JRip_optimizations,JRip_checkErrorRate,PART_useMDLcorrection,PART_pruning,J48"
17,90,0.95338346,0.99533449,0.99872759,0.99318268,0.99659357,0018,0308,0050,0.53630133,"PART,DecisionTable,JRip,SimpleCart,SimpleCart_usePrune,Aggregator,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,SimpleCart_numFoldsPruning,JRip_usePruning,SimpleCart_heuristic,SimpleCart_useOneSE,JRip_folds,J48_collapseTree,J48_pruning,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_useMDLcorrection,PART_confidenceFactorValue,PART_numFolds,J48_binarySplits,DecisionTable_crossVal,GreedyStepwise_searchBackwards,PART_minNumObj,SimpleCart_minNumObj,PART_binarySplits,JRip_checkErrorRate,PART_useMDLcorrection,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,JRip_minNo,PART_doNotMakeSplitPointActualValue,PART_pruning,JRip_optimizations,J48,DecisionTable_evaluationMeasure"
18,90,0.98853865,0.99578755,0.99872759,0.99318268,0.99659357,0019,0034,0050,0.53630133,"PART,JRip,SimpleCart,SimpleCart_usePrune,Aggregator,DecisionTable,SimpleCart_numFoldsPruning,SimpleCart_heuristic,JRip_usePruning,JRip_folds,SimpleCart_useOneSE,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,DecisionTable_evaluationMeasure,JRip_minNo,GreedyStepwise_searchBackwards,JRip_checkErrorRate,PART_binarySplits,PART_pruning,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_minNumObj,SimpleCart_minNumObj,JRip_optimizations,PART_numFolds,J48,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,J48_useMDLcorrection,J48_useLaplace,J48_binarySplits,J48_collapseTree,PART_useMDLcorrection,J48_minNumObj,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection"
19,90,0.97799306,0.99503085,0.99872759,0.99318268,0.99659357,0020,0276,0046,0.27112869,"PART,Aggregator,DecisionTable,PART_binarySplits,PART_useMDLcorrection,JRip,SimpleCart,JRip_usePruning,DecisionTable_search,JRip_folds,SimpleCart_usePrune,BestFirst_searchTermination,DecisionTable_evaluationMeasure,BestFirst_direction,SimpleCart_heuristic,SimpleCart_useOneSE,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,J48_minNumObj,J48_useLaplace,J48_doNotMakeSplitPointActualValue,PART_numFolds,J48_numFolds,PART_confidenceFactorValue,J48_useMDLcorrection,J48_confidenceFactorValue,J48_pruning,J48_subtreeRaising,J48_collapseTree,J48_binarySplits,JRip_optimizations,DecisionTable_crossVal,JRip_checkErrorRate,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,PART_pruning,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,JRip_minNo,J48"
20,90,0.98048969,0.99536341,0.99872759,0.99318268,0.99659357,0017,0034,0046,0.27112869,"Aggregator,SimpleCart,PART,JRip,PART_binarySplits,SimpleCart_heuristic,DecisionTable,PART_useMDLcorrection,SimpleCart_minNumObj,JRip_usePruning,SimpleCart_usePrune,DecisionTable_evaluationMeasure,DecisionTable_search,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,BestFirst_searchTermination,JRip_folds,BestFirst_direction,JRip_minNo,PART_pruning,PART_numFolds,PART_confidenceFactorValue,JRip_optimizations,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,DecisionTable_useIBk,DecisionTable_crossVal,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48,J48_useLaplace,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_binarySplits,J48_collapseTree,J48_useMDLcorrection,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue"
21,90,0.97138037,0.99531039,0.99872759,0.99318268,0.99659357,0018,0271,0046,0.27112869,"Aggregator,PART,SimpleCart,PART_useMDLcorrection,SimpleCart_minNumObj,JRip,DecisionTable,SimpleCart_usePrune,SimpleCart_heuristic,PART_binarySplits,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,DecisionTable_search,DecisionTable_evaluationMeasure,JRip_usePruning,JRip_folds,BestFirst_searchTermination,BestFirst_direction,PART_confidenceFactorValue,J48_useLaplace,J48_minNumObj,J48_binarySplits,PART_numFolds,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,J48_useMDLcorrection,J48_collapseTree,J48_doNotMakeSplitPointActualValue,JRip_optimizations,JRip_checkErrorRate,DecisionTable_useIBk,PART_pruning,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,J48,DecisionTable_crossVal,PART_minNumObj,JRip_minNo"
